date,ai_concentration_index,top_n,index_return,top_n_contribution,rest_contribution,company_count
2025-01-03,0.294255,5,0.021752,0.006401,0.015352,50
2025-01-10,-0.047872,5,-0.020018,0.000958,-0.020976,50
2025-01-17,0.539124,5,0.010319,0.005563,0.004756,50
2025-01-24,6.058043,5,0.000895,0.005423,-0.004527,50
2025-01-31,2.165727,5,0.002445,0.005295,-0.00285,50
2025-02-07,-1.007256,5,-0.00598,0.006023,-0.012003,50
2025-02-14,-1.44038,5,-0.003847,0.005542,-0.009389,50
2025-02-21,0.014842,5,-0.038759,-0.000575,-0.038184,50
2025-02-28,0.637962,5,0.009556,0.006096,0.003459,50
2025-03-07,1.687694,5,0.003956,0.006677,-0.002721,50
2025-03-14,0.250594,5,0.037137,0.009306,0.027831,50
2025-03-21,0.770919,5,0.005281,0.004071,0.00121,50
2025-03-28,0.035567,5,-0.031254,-0.001112,-0.030143,50
2025-04-04,0.045617,5,-0.067163,-0.003064,-0.064099,50
2025-04-11,0.340595,5,0.013232,0.004507,0.008725,50
2025-04-25,0.25724,5,0.015103,0.003885,0.011218,50
2025-05-02,0.369082,5,0.023044,0.008505,0.014539,50
2025-05-09,-0.861139,5,-0.003909,0.003366,-0.007275,50
2025-05-16,0.522692,5,0.008195,0.004283,0.003911,50
2025-05-23,-0.207002,5,-0.012093,0.002503,-0.014596,50
2025-05-30,13.85128,5,0.000484,0.006697,-0.006214,50
2025-06-06,0.760431,5,0.006179,0.004699,0.00148,50
2025-06-13,-0.094189,5,-0.021109,0.001988,-0.023098,50
2025-06-20,-0.1888,5,-0.008473,0.0016,-0.010073,50
2025-06-27,1.924133,5,0.001546,0.002974,-0.001429,50
2025-07-11,-0.101783,5,-0.014845,0.001511,-0.016356,50
2025-07-18,0.444901,5,0.009061,0.004031,0.00503,50
2025-07-25,0.471645,5,0.006812,0.003213,0.003599,50
2025-08-01,0.007896,5,-0.032462,-0.000256,-0.032205,50
2025-08-08,-0.268368,5,-0.012027,0.003228,-0.015255,50
2025-08-15,0.68787,5,0.007982,0.005491,0.002491,50
2025-08-22,0.311737,5,0.024654,0.007686,0.016968,50
2025-08-29,-0.160938,5,-0.0174,0.0028,-0.0202,50
2025-09-05,0.433524,5,0.016309,0.00707,0.009238,50
2025-09-12,-0.39669,5,-0.007437,0.00295,-0.010387,50
2025-09-19,1.325663,5,0.002477,0.003283,-0.000807,50
2025-09-26,0.570736,5,0.007893,0.004505,0.003388,50
2025-10-03,-0.723558,5,-0.004463,0.003229,-0.007692,50
2025-10-10,-0.004774,5,-0.043332,0.000207,-0.043539,50
2025-10-17,-3.198059,5,-0.000676,0.002161,-0.002837,50
2025-10-24,0.46282,5,0.013719,0.006349,0.007369,50
2025-10-31,0.552566,5,0.019625,0.010844,0.008781,50
2025-11-07,2.151598,5,0.002602,0.005598,-0.002996,50
2025-11-14,1.45105,5,0.002144,0.003112,-0.000967,50
2025-11-21,1.227849,5,0.003529,0.004333,-0.000804,50
2025-11-28,0.314071,5,0.013139,0.004127,0.009012,50
2025-12-05,0.576718,5,0.008677,0.005004,0.003673,50
2025-12-12,-0.029427,5,-0.024627,0.000725,-0.025352,48
2025-12-19,0.398384,5,0.015519,0.006183,0.009337,50
2025-12-26,0.593432,5,0.002145,0.001273,0.000872,50
2026-01-02,-1.577755,5,-0.004737,0.007474,-0.012212,50
2026-01-09,1.982877,5,0.003197,0.00634,-0.003142,50
2026-01-16,-0.991799,5,-0.005352,0.005308,-0.010661,50
2026-01-23,-0.78814,5,-0.003735,0.002943,-0.006678,50
2026-01-30,-0.018811,5,-0.025577,0.000481,-0.026058,50
2026-02-06,0.240965,5,0.036487,0.008792,0.027695,50
2026-02-09,0.443925,5,0.015574,0.006914,0.00866,50
2026-02-13,0.39566,5,0.014823,0.005865,0.008958,50
2026-02-20,-0.202185,5,-0.014514,0.002935,-0.017449,50
2026-02-23,-0.032301,5,-0.045757,0.001478,-0.047235,50
2026-02-27,-0.535261,5,-0.013825,0.0074,-0.021226,50
2026-03-06,-1.965859,5,-0.003096,0.006087,-0.009183,50
2026-03-13,-1.111427,5,-0.00288,0.003201,-0.006082,50
2026-03-20,-0.030036,5,-0.02683,0.000806,-0.027636,49
2026-03-27,-0.082689,5,-0.029696,0.002456,-0.032151,49
2026-04-02,0.437633,5,0.008299,0.003632,0.004667,49
2026-04-10,-0.275394,5,-0.019411,0.005346,-0.024756,49
2026-04-17,0.512939,5,0.009978,0.005118,0.00486,49
2026-04-24,0.419271,5,0.031946,0.013394,0.018552,49
2026-05-01,0.427466,5,0.036119,0.01544,0.020679,49
2026-05-08,0.937161,5,0.017198,0.016117,0.001081,49
2026-05-15,2.172722,5,0.003021,0.006564,-0.003543,49
2026-05-22,0.392302,5,0.02795,0.010965,0.016985,49
2026-05-29,0.369912,5,0.056956,0.021069,0.035887,49
2026-06-05,0.011888,5,-0.057158,-0.00068,-0.056479,49
2026-06-12,-2.905915,5,-0.001573,0.004571,-0.006144,49
2026-06-18,0.61613,5,0.014506,0.008937,0.005568,49
2026-06-26,0.635647,5,0.01451,0.009223,0.005287,49
2026-07-02,-0.309342,5,-0.012149,0.003758,-0.015907,49
2026-07-10,-0.235817,5,-0.011994,0.002828,-0.014823,49
2026-07-17,-0.301073,5,-0.008585,0.002585,-0.01117,49
2026-07-24,1.529194,5,0.004861,0.007434,-0.002573,49
2026-07-31,0.562398,5,0.012797,0.007197,0.0056,49
2026-08-07,0.419202,5,0.041755,0.017504,0.024251,49
2026-08-14,-0.214522,5,-0.01537,0.003297,-0.018668,49
