layer,bubble_index,valuation_level,valuation_acceleration,price_momentum,fundamental_divergence,companies_with_data,calculation_date,version
Compute,0.458,0.163,0.631,0.631,0.5,17,2025-05-02,
Platform,0.329,0.24,0.293,0.293,0.5,19,2025-05-02,
Application,0.221,0.068,0.169,0.169,0.5,14,2025-05-02,
Aggregate,0.34262,,,,,50,2025-05-02,v3.0
Compute,0.451,0.171,0.611,0.611,0.5,17,2025-05-09,
Platform,0.291,0.238,0.211,0.211,0.5,19,2025-05-09,
Application,0.253,0.067,0.239,0.239,0.5,14,2025-05-09,
Aggregate,0.33476,,,,,50,2025-05-09,v3.0
Compute,0.447,0.17,0.603,0.603,0.5,17,2025-05-16,
Platform,0.327,0.267,0.271,0.271,0.5,19,2025-05-16,
Application,0.241,0.064,0.214,0.214,0.5,14,2025-05-16,
Aggregate,0.34372,,,,,50,2025-05-16,v3.0
Compute,0.436,0.166,0.58,0.58,0.5,17,2025-05-23,
Platform,0.323,0.278,0.255,0.255,0.5,19,2025-05-23,
Application,0.236,0.074,0.197,0.197,0.5,14,2025-05-23,
Aggregate,0.33706,,,,,50,2025-05-23,v3.0
Compute,0.441,0.182,0.58,0.58,0.5,17,2025-05-30,
Platform,0.339,0.316,0.265,0.265,0.5,19,2025-05-30,
Application,0.28,0.079,0.292,0.292,0.5,14,2025-05-30,
Aggregate,0.35716,,,,,50,2025-05-30,v3.0
Compute,0.382,0.181,0.45,0.45,0.5,17,2025-06-06,
Platform,0.328,0.306,0.246,0.246,0.5,19,2025-06-06,
Application,0.264,0.079,0.256,0.256,0.5,14,2025-06-06,
Aggregate,0.32844,,,,,50,2025-06-06,v3.0
Compute,0.42,0.188,0.531,0.531,0.5,17,2025-06-13,
Platform,0.44,0.353,0.465,0.465,0.5,19,2025-06-13,
Application,0.268,0.087,0.26,0.26,0.5,14,2025-06-13,
Aggregate,0.38504,,,,,50,2025-06-13,v3.0
Compute,0.447,0.185,0.592,0.592,0.5,17,2025-06-20,
Platform,0.475,0.377,0.528,0.528,0.5,19,2025-06-20,
Application,0.27,0.089,0.264,0.264,0.5,14,2025-06-20,
Aggregate,0.40808,,,,,50,2025-06-20,v3.0
Compute,0.42,0.186,0.531,0.531,0.5,17,2025-06-27,
Platform,0.526,0.357,0.653,0.653,0.5,19,2025-06-27,
Application,0.243,0.096,0.199,0.199,0.5,14,2025-06-27,
Aggregate,0.41072,,,,,50,2025-06-27,v3.0
