date,layer,layer_level,layer_return,companies_count,version
2025-01-03,Compute,103.1503,0.031503,17,v1.0
2025-01-03,Platform,102.1288,0.021288,19,v1.0
2025-01-03,Application,101.0542,0.010542,14,v1.0
2025-01-10,Compute,101.018,-0.020672,17,v1.0
2025-01-10,Platform,100.3058,-0.01785,19,v1.0
2025-01-10,Application,98.8141,-0.022167,14,v1.0
2025-01-17,Compute,103.3674,0.023257,17,v1.0
2025-01-17,Platform,101.2112,0.009026,19,v1.0
2025-01-17,Application,98.4546,-0.003638,14,v1.0
2025-01-24,Compute,102.2385,-0.010922,17,v1.0
2025-01-24,Platform,102.6146,0.013866,19,v1.0
2025-01-24,Application,98.2223,-0.002359,14,v1.0
2025-01-31,Compute,101.8212,-0.004082,17,v1.0
2025-01-31,Platform,104.0748,0.01423,19,v1.0
2025-01-31,Application,97.67,-0.005623,14,v1.0
2025-02-07,Compute,100.9316,-0.008737,17,v1.0
2025-02-07,Platform,104.0903,0.000149,19,v1.0
2025-02-07,Application,96.6005,-0.01095,14,v1.0
2025-02-14,Compute,102.2836,0.013395,17,v1.0
2025-02-14,Platform,101.8844,-0.021192,19,v1.0
2025-02-14,Application,96.4801,-0.001246,14,v1.0
2025-02-21,Compute,98.5851,-0.036159,17,v1.0
2025-02-21,Platform,97.3575,-0.044432,19,v1.0
2025-02-21,Application,93.1789,-0.034216,14,v1.0
2025-02-28,Compute,99.3259,0.007514,17,v1.0
2025-02-28,Platform,99.4875,0.021878,19,v1.0
2025-02-28,Application,92.7419,-0.00469,14,v1.0
2025-03-07,Compute,100.3394,0.010204,17,v1.0
2025-03-07,Platform,98.9326,-0.005577,19,v1.0
2025-03-07,Application,93.6051,0.009308,14,v1.0
2025-03-14,Compute,103.8218,0.034706,17,v1.0
2025-03-14,Platform,102.1115,0.032132,19,v1.0
2025-03-14,Application,97.9934,0.046881,14,v1.0
2025-03-21,Compute,103.756,-0.000634,17,v1.0
2025-03-21,Platform,103.0839,0.009523,19,v1.0
2025-03-21,Application,98.6506,0.006706,14,v1.0
2025-03-28,Compute,100.8823,-0.027697,17,v1.0
2025-03-28,Platform,99.449,-0.035262,19,v1.0
2025-03-28,Application,95.6776,-0.030136,14,v1.0
2025-04-04,Compute,92.9985,-0.078149,17,v1.0
2025-04-04,Platform,93.2387,-0.062447,19,v1.0
2025-04-04,Application,89.9155,-0.060224,14,v1.0
2025-04-11,Compute,94.8683,0.020106,17,v1.0
2025-04-11,Platform,93.8649,0.006717,19,v1.0
2025-04-11,Application,91.1499,0.013728,14,v1.0
2025-04-25,Compute,96.0068,0.012001,17,v1.0
2025-04-25,Platform,95.5106,0.017533,19,v1.0
2025-04-25,Application,92.5692,0.015571,14,v1.0
2025-05-02,Compute,99.1222,0.03245,17,v1.0
2025-05-02,Platform,96.394,0.009249,19,v1.0
2025-05-02,Application,95.3782,0.030345,14,v1.0
2025-05-09,Compute,99.6694,0.005521,17,v1.0
2025-05-09,Platform,95.7107,-0.007089,19,v1.0
2025-05-09,Application,94.3249,-0.011044,14,v1.0
2025-05-16,Compute,100.313,0.006457,17,v1.0
2025-05-16,Platform,96.3263,0.006432,19,v1.0
2025-05-16,Application,95.5225,0.012697,14,v1.0
2025-05-23,Compute,98.8986,-0.014099,17,v1.0
2025-05-23,Platform,95.4991,-0.008587,19,v1.0
2025-05-23,Application,94.1457,-0.014414,14,v1.0
2025-05-30,Compute,97.1152,-0.018032,17,v1.0
2025-05-30,Platform,95.4315,-0.000708,19,v1.0
2025-05-30,Application,96.4602,0.024584,14,v1.0
2025-06-06,Compute,98.112,0.010264,17,v1.0
